Feature,Mean,SD,Min,Max
year,2001.1377206439015,14.358271989728706,1960,2020
loudness,-8.596683791887477,4.407448977907678,-60,4.584
tempo,120.37526672012591,29.669840300907367,0,243.507
duration_ms,234708.23763796437,97268.16646801488,14708,5403500
mode,0.6456797625214173,0.47830800355444963,0,1
time_signature,3.910581942064788,0.4056731155212883,0,5
acousticness,0.32798091106969957,0.30019821970983457,0,0.996
danceability,0.5922972103239431,0.16212353833855603,0,0.986
energy,0.6158187668396621,0.22738063241153633,0,1
instrumentalness,0.06346840719179615,0.2002941461099816,0,1
liveness,0.2070396608658405,0.1824774723849948,0,1
speechiness,0.09991120103996494,0.1588587347826265,0,0.969
valence,0.551483111990477,0.25142936514252,0,1
