Estimate,Std. Error,t value,Pr(>|t|),Feature
2001.1377206434265,0.02778043163383909,72034.07589268191,0,(Intercept)
6.555298727127538,0.04623648121941739,141.77763000646743,0,loudness
0.7018706849090705,0.02901012584029715,24.193989670121375,3.945609372128939e-129,tempo
-0.7625547453313867,0.029301531994515996,-26.02439850155632,4.6450986325248525e-149,duration_ms
-0.8555745516843611,0.028020585636685327,-30.533785509615445,2.7373471719317295e-204,mode
-0.06508797887268922,0.028741496915857492,-2.264599476611754,0.02353833057009348,time_signature
0.4528430191760219,0.03825167522324944,11.83851469335866,2.529804261400048e-32,acousticness
4.111382183216008,0.03533588436841182,116.35147263758138,0,danceability
-0.8819218128679043,0.05414514854220156,-16.288104042793805,1.309469743327152e-59,energy
0.5066606678470781,0.031000397738599767,16.34368281721159,5.276241779870693e-60,instrumentalness
-0.32188108646184765,0.029373736082080514,-10.958125502401161,6.186304917774202e-28,liveness
-0.2523331725454625,0.030922130424634903,-8.160277738963122,3.3616082488588444e-16,speechiness
-4.484128443189788,0.035777095371900325,-125.33517314856324,0,valence
